epoch,step,train_loss
0,49,0.0072577036917209625
0,99,0.002192250918596983
0,149,0.0016259197145700455
0,199,0.0013742782175540924
0,249,0.0010684460867196321
0,299,0.0012106257490813732
0,349,0.0008788391714915633
0,399,0.0005190811934880912
0,449,0.0003288901352789253
0,499,0.00020870647858828306
0,549,0.00018767642905004323
0,599,9.137715096585453e-05
0,649,7.527177513111383e-05
0,699,8.292803249787539e-05
0,749,5.623584729619324e-05
1,799,5.1535083912312984e-05
1,849,7.014028960838914e-05
1,899,4.083651219843887e-05
1,949,4.4777290895581245e-05
1,999,5.147283081896603e-05
1,1049,3.0316310585476458e-05
1,1099,5.852158574271016e-05
1,1149,0.00010359607404097915
1,1199,7.002711936365813e-05
1,1249,5.0702346925390884e-05
1,1299,3.811251008301042e-05
1,1349,3.275835479144007e-05
1,1399,2.0224111722200178e-05
1,1449,3.4132863220293075e-05
1,1499,3.248517896281555e-05
1,1549,1.5301220628316514e-05
2,1599,4.9321603000862524e-05
2,1649,1.869398693088442e-05
2,1699,1.692542718956247e-05
2,1749,2.666255386429839e-05
2,1799,2.4801454856060445e-05
2,1849,1.781521859811619e-05
2,1899,1.4594470485462807e-05
2,1949,1.78417976712808e-05
2,1999,2.0418401618371718e-05
2,2049,1.3878059689886868e-05
2,2099,2.3388534827972762e-05
2,2149,1.6191488612093963e-05
2,2199,7.213246135506779e-06
2,2249,9.033597962115891e-06
2,2299,3.3579653972992674e-05
3,2349,2.111530557158403e-05
3,2399,1.0126866982318461e-05
3,2449,1.2447034350770991e-05
3,2499,1.0201314580626786e-05
3,2549,1.7602962543605827e-05
3,2599,7.5079233283759095e-06
3,2649,1.2491832421801519e-05
3,2699,1.4137885955278762e-05
3,2749,5.808147761854343e-06
3,2799,6.509302693302743e-06
3,2849,1.1809762327175122e-05
3,2899,2.0016857888549566e-05
3,2949,1.824985520215705e-05
3,2999,7.944017852423713e-06
3,3049,6.221956027729902e-06
3,3099,1.2292499377508648e-05
4,3149,9.14132033358328e-06
4,3199,7.4471586231084075e-06
4,3249,1.6540227079531178e-05
4,3299,1.0277333785779774e-05
4,3349,9.742339898366481e-06
4,3399,1.7051388567779213e-05
4,3449,6.328018116619205e-06
4,3499,5.3205149015411735e-06
4,3549,9.751267498359084e-06
4,3599,4.133606125833467e-06
4,3649,1.7671989553491585e-05
4,3699,1.3773817045148462e-05
4,3749,1.3642697012983263e-05
4,3799,1.2594555300893262e-05
4,3849,1.2648062693187967e-05
4,3899,1.0145922715310007e-05
5,3949,4.543977411231026e-06
5,3999,7.207694125099806e-06
5,4049,6.760961241525365e-06
5,4099,1.549375883769244e-05
5,4149,1.0907761861744802e-05
5,4199,5.668552148563322e-06
5,4249,1.5885188986430876e-05
5,4299,5.03297178511275e-06
5,4349,1.4105757145443931e-05
5,4399,6.498633865703596e-06
5,4449,9.387658792547882e-06
5,4499,2.9410923161776736e-05
5,4549,9.158735338132828e-06
5,4599,2.7428850444266573e-06
5,4649,6.76728905091295e-06
6,4699,9.730824785947334e-06
6,4749,5.6040589697659016e-06
6,4799,1.4126298992778175e-05
6,4849,4.001598881586688e-06
6,4899,1.534723924123682e-05
6,4949,1.312542190134991e-05
6,4999,3.5762663173954934e-05
6,5049,7.707513759669382e-06
6,5099,1.1994166925433092e-05
6,5149,7.183419711509487e-06
6,5199,7.112198545655701e-06
6,5249,1.2543423508759588e-05
6,5299,2.5630235541029833e-05
6,5349,6.856645541120088e-06
6,5399,6.114603820606135e-06
6,5449,1.6602061805315316e-05
7,5499,6.483119705080753e-06
7,5549,3.00709939438093e-06
7,5599,3.1706554182164837e-06
7,5649,5.501036412169924e-06
7,5699,1.826706102292519e-05
7,5749,9.695966582512483e-06
7,5799,6.681569175270852e-06
7,5849,8.266443728643935e-06
7,5899,6.7339074121264275e-06
7,5949,1.8632035789778456e-05
7,5999,5.22542541148141e-06
7,6049,2.8472109079302754e-06
7,6099,6.034536909282906e-06
7,6149,2.1845642095286166e-06
7,6199,9.302730177296326e-06
7,6249,5.6388053053524345e-06
8,6299,6.216299425432226e-06
8,6349,3.563929112715414e-06
8,6399,2.625374690978788e-06
8,6449,1.83829506568145e-05
8,6499,7.21206151865772e-06
8,6549,6.6555876401253045e-06
8,6599,3.406333007660578e-06
8,6649,5.8119194363825954e-06
8,6699,2.6262703158863587e-06
8,6749,2.5590168206690578e-06
8,6799,2.2789652120991377e-06
8,6849,8.613762474851683e-06
8,6899,2.3326242626353633e-06
8,6949,1.0225662663287949e-05
8,6999,9.549587048240937e-06
9,7049,7.111326340236701e-06
9,7099,4.115368938073516e-06
9,7149,3.426113835303113e-06
9,7199,1.4177578123053536e-05
9,7249,5.820314981974661e-06
9,7299,1.1989402992185205e-05
9,7349,3.760623030757415e-06
9,7399,9.050340850080829e-06
9,7449,2.1672527509508654e-05
9,7499,3.9757733247824945e-06
9,7549,6.557243068527896e-06
9,7599,9.568988389219157e-06
9,7649,9.426874385098927e-06
9,7699,9.790737749426626e-06
9,7749,1.9263563444837928e-05
9,7799,3.944440322811715e-06
