epoch,step,train_loss
0,49,3.146458387374878
0,99,1.0697224140167236
0,149,0.20694147050380707
0,199,0.05271371454000473
0,249,0.013744233176112175
0,299,0.010921086184680462
1,349,0.011163130402565002
1,399,0.008061926811933517
1,449,0.0038121570833027363
1,499,0.0034395891707390547
1,549,0.0032096970826387405
1,599,0.0063388533890247345
2,649,0.004422347992658615
2,699,0.002214265987277031
2,749,0.0027572240214794874
2,799,0.0016959462082013488
2,849,0.001565620070323348
2,899,0.0022057686001062393
3,949,0.002363098319619894
3,999,0.002864409703761339
3,1049,0.0023269555531442165
3,1099,0.003253487404435873
3,1149,0.0011688100639730692
3,1199,0.00175798824056983
3,1249,0.0011908237356692553
4,1299,0.0021109681110829115
4,1349,0.0037748950999230146
4,1399,0.0006483267061412334
4,1449,0.0017815487226471305
4,1499,0.0015372780617326498
4,1549,0.0004872937861364335
5,1599,0.0013523881789296865
5,1649,0.0010879386682063341
5,1699,0.0006717468495480716
5,1749,0.0008232146501541138
5,1799,0.0005371918668970466
5,1849,0.000704555946867913
6,1899,0.0006721626850776374
6,1949,0.0005962424329482019
6,1999,0.0014070247998461127
6,2049,0.0006226338446140289
6,2099,0.0006829087506048381
6,2149,0.003322602016851306
7,2199,0.001872093416750431
7,2249,0.002182259690016508
7,2299,0.0006076322169974446
7,2349,0.0009205608512274921
7,2399,0.0020699615124613047
7,2449,0.0005903270794078708
7,2499,0.0008276142179965973
8,2549,0.000544585520401597
8,2599,0.001158050145022571
8,2649,0.00047202984569594264
8,2699,0.001334846019744873
8,2749,0.0007058207411319017
8,2799,0.0004428766842465848
9,2849,0.00035567054874263704
9,2899,0.0005529826739802957
9,2949,0.0005623194156214595
9,2999,0.01106706541031599
9,3049,0.008768009021878242
9,3099,0.0007023920188657939
10,3149,0.0007729867356829345
10,3199,0.0005021783290430903
10,3249,0.000540692824870348
10,3299,0.001324322889558971
10,3349,0.0004404853971209377
10,3399,0.0003109167446382344
11,3449,0.000835930637549609
11,3499,0.0026283026672899723
11,3549,0.0002716307935770601
11,3599,0.0012264817487448454
11,3649,0.0007208668976090848
11,3699,0.0008221945026889443
11,3749,0.00038845924427732825
12,3799,0.0013475550804287195
12,3849,0.0002966502506751567
12,3899,0.0017483045812696218
12,3949,0.0014516685623675585
12,3999,0.0003628899285104126
12,4049,0.0017569689080119133
13,4099,0.00037210341542959213
13,4149,0.0005406420677900314
13,4199,0.0007359377923421562
13,4249,0.00025660888059064746
13,4299,0.0002844968403223902
13,4349,0.0007210095645859838
14,4399,0.0002691590925678611
14,4449,0.000375831441488117
14,4499,0.0006002020090818405
14,4549,0.0031476342119276524
14,4599,0.00033807120053097606
14,4649,0.0002472232736181468
15,4699,0.0002114361122949049
15,4749,0.0005905076395720243
15,4799,0.00034137730835936964
15,4849,0.0009492053650319576
15,4899,0.0007539840298704803
15,4949,0.0002522104769013822
15,4999,0.0005408301367424428
16,5049,0.0006339726387523115
16,5099,0.0002755282912403345
16,5149,0.0050844457000494
16,5199,0.0010379860177636147
16,5249,0.00042580021545290947
16,5299,0.0004673819930758327
17,5349,0.00032251502852886915
17,5399,0.0005120289279147983
17,5449,0.00115319958422333
17,5499,0.0007369342492893338
17,5549,0.0003916024579666555
17,5599,0.0006506855133920908
18,5649,0.00037761341081932187
18,5699,0.0007236094679683447
18,5749,0.00041218037949874997
18,5799,0.001838721102103591
18,5849,0.0005070035113021731
18,5899,0.0007698291447013617
19,5949,0.0005028094165027142
19,5999,0.00013570970622822642
19,6049,0.0016862940974533558
19,6099,0.0002480003167875111
19,6149,0.00022561705554835498
19,6199,0.0002757152251433581
19,6249,0.00017620842845644802
