epoch,step,train_loss
0,49,0.010568784549832344
1,99,0.00361118046566844
1,149,0.0017901824321597815
2,199,0.0011458572698757052
3,249,0.0011685688514262438
3,299,0.0011051109759137034
4,349,0.0005509945331141353
5,399,0.0005003761034458876
5,449,0.0005307111423462629
6,499,0.00036725931568071246
6,549,0.00036527792690321803
7,599,0.00036833315971307456
8,649,0.00023697208962403238
8,699,0.0002518561959732324
9,749,0.00025808950886130333
10,799,0.00022243926650844514
10,849,0.0001869488914962858
11,899,0.0002058290847344324
12,949,0.00022172651370055974
12,999,0.00017574294179212302
13,1049,0.00013731431681662798
13,1099,0.00014103922876529396
14,1149,0.00011495406943140551
15,1199,7.930400170153007e-05
15,1249,0.00010869182733586058
16,1299,8.700096805114299e-05
17,1349,0.00013544065586756915
17,1399,6.191343709360808e-05
18,1449,8.496329246554524e-05
18,1499,0.00010237076639896259
19,1549,9.333410707768053e-05
20,1599,6.167936226120219e-05
20,1649,6.030746590113267e-05
21,1699,0.00010737369302660227
22,1749,6.296136416494846e-05
22,1799,7.706282485742122e-05
23,1849,6.299913366092369e-05
24,1899,9.235757170245051e-05
24,1949,6.316564395092428e-05
25,1999,5.3027069952804595e-05
25,2049,4.505032848101109e-05
26,2099,5.251234688330442e-05
27,2149,6.968877278268337e-05
27,2199,6.326400762191042e-05
28,2249,2.9617061954922974e-05
29,2299,3.8409314583987e-05
29,2349,3.6638040910474956e-05
30,2399,3.5427070542937145e-05
31,2449,4.0488528611604124e-05
31,2499,3.349721373524517e-05
32,2549,7.26864454918541e-05
32,2599,5.473967030411586e-05
33,2649,3.7798126868437976e-05
34,2699,4.1386709199287e-05
34,2749,4.9406036850996315e-05
35,2799,3.903809192706831e-05
36,2849,4.031693242723122e-05
36,2899,4.4435681047616526e-05
37,2949,5.1568284106906503e-05
37,2999,4.3056563299614936e-05
38,3049,3.8595451769651845e-05
39,3099,3.1481504265684634e-05
39,3149,4.82009127154015e-05
40,3199,2.4546030545025133e-05
41,3249,9.038150164997205e-05
41,3299,2.717204188229516e-05
42,3349,3.150731572532095e-05
43,3399,2.7351976314093918e-05
43,3449,2.2460275431512855e-05
44,3499,2.5940316845662892e-05
44,3549,3.464033579803072e-05
45,3599,2.5987032131524757e-05
46,3649,4.288616401026957e-05
46,3699,2.3635560864931904e-05
47,3749,5.071905252407305e-05
48,3799,4.0358896512771025e-05
48,3849,3.242124512325972e-05
49,3899,1.944336690939963e-05
49,3949,1.1485437426017597e-05
