epoch,step,train_loss
0,49,0.025937549769878387
0,99,0.011350815184414387
0,149,0.002703067846596241
1,199,0.0018690142314881086
1,249,0.0012484139297157526
1,299,0.001019428251311183
2,349,0.0006509378436021507
2,399,0.000621691404376179
2,449,0.000558350351639092
3,499,0.00037163859815336764
3,549,0.0005874753114767373
3,599,0.0005698116146959364
4,649,0.0005367911653593183
4,699,0.00041986655560322106
4,749,0.0005991660291329026
5,799,0.0003175433957949281
5,849,0.00027532927924767137
5,899,0.0004272822989150882
6,949,0.0002501824637874961
6,999,0.00019645421707537025
6,1049,0.00024126400239765644
7,1099,0.00016393982514273375
7,1149,0.00013741398288402706
7,1199,8.975774107966572e-05
7,1249,8.517485548509285e-05
8,1299,0.00012830492050852627
8,1349,0.00013346235209610313
8,1399,7.335554983001202e-05
9,1449,6.758938252460212e-05
9,1499,6.521343311760575e-05
9,1549,7.861555059207603e-05
10,1599,4.962829189025797e-05
10,1649,7.452764839399606e-05
10,1699,5.38077401870396e-05
11,1749,5.141689325682819e-05
11,1799,3.6905621527694166e-05
11,1849,4.616507430910133e-05
12,1899,0.0001658797700656578
12,1949,3.166957321809605e-05
12,1999,3.0336685085785575e-05
13,2049,2.9079628802719526e-05
13,2099,4.220848131808452e-05
13,2149,4.310106305638328e-05
14,2199,3.5551835026126355e-05
14,2249,4.3684518459485844e-05
14,2299,2.9297674700501375e-05
14,2349,2.996849980263505e-05
15,2399,2.0041276002302766e-05
15,2449,3.016620576090645e-05
15,2499,2.6462679670657963e-05
16,2549,3.1790801585884765e-05
16,2599,3.36512821377255e-05
16,2649,2.887464506784454e-05
17,2699,8.34567254059948e-05
17,2749,4.170925240032375e-05
17,2799,1.6120149666676298e-05
18,2849,4.43355820607394e-05
18,2899,4.2812840547412634e-05
18,2949,1.7870805095299147e-05
19,2999,2.1659323465428315e-05
19,3049,1.4598091183870565e-05
19,3099,2.077924546028953e-05
20,3149,2.9802395147271454e-05
20,3199,2.189762562920805e-05
20,3249,7.270561036420986e-05
21,3299,2.8970587663934566e-05
21,3349,1.3537618542613927e-05
21,3399,2.124640013789758e-05
21,3449,3.430023571127094e-05
22,3499,2.2866277504363097e-05
22,3549,2.1223590010777116e-05
22,3599,1.5001402061898261e-05
23,3649,3.3642136259004474e-05
23,3699,1.1215249287488405e-05
23,3749,3.3625496143940836e-05
24,3799,3.102562186541036e-05
24,3849,1.774378506524954e-05
24,3899,2.966758984257467e-05
25,3949,1.8264114260091446e-05
25,3999,1.78545196831692e-05
25,4049,1.913676351250615e-05
26,4099,4.066451947437599e-05
26,4149,1.5780959074618295e-05
26,4199,1.3242637578514405e-05
27,4249,2.63188048847951e-05
27,4299,3.786160232266411e-05
27,4349,1.6860409232322127e-05
28,4399,1.967972821148578e-05
28,4449,1.2897950909973588e-05
28,4499,1.261399120267015e-05
28,4549,2.0206309272907674e-05
29,4599,1.8330520106246695e-05
29,4649,1.0511482287256513e-05
29,4699,1.3309079804457724e-05
30,4749,1.4245719285099767e-05
30,4799,1.6103420421131887e-05
30,4849,9.387281352246646e-06
31,4899,1.0630911674525123e-05
31,4949,1.2716250239463989e-05
31,4999,1.181806692329701e-05
32,5049,3.122582711512223e-05
32,5099,7.174896381911822e-06
32,5149,1.3808121366309933e-05
33,5199,1.592076114320662e-05
33,5249,1.8202345017925836e-05
33,5299,3.836898031295277e-05
34,5349,1.8710934455157258e-05
34,5399,2.017680526478216e-05
34,5449,7.790764357196167e-06
35,5499,3.815562013187446e-05
35,5549,1.5719031580374576e-05
35,5599,1.480028913647402e-05
35,5649,5.52905885342625e-06
36,5699,4.7596381591574755e-06
36,5749,9.52318441704847e-06
36,5799,1.6121241060318425e-05
37,5849,1.0568784091447014e-05
37,5899,1.460841031075688e-05
37,5949,6.88179852659232e-06
38,5999,3.795601151068695e-05
38,6049,1.0467647371115163e-05
38,6099,7.325691512960475e-06
39,6149,2.4070064682746306e-05
39,6199,1.4273174201662187e-05
39,6249,2.200335802626796e-05
40,6299,1.1874632946273778e-05
40,6349,8.78440732776653e-06
40,6399,8.052848897932563e-06
41,6449,5.833987597725354e-05
41,6499,7.346826805587625e-06
41,6549,3.705956260091625e-05
42,6599,1.0106607987836469e-05
42,6649,7.852076123526786e-06
42,6699,8.608422831457574e-06
42,6749,1.0825393474078737e-05
43,6799,5.249619334790623e-06
43,6849,4.40842195530422e-05
43,6899,6.776706413802458e-06
44,6949,6.6072275330952834e-06
44,6999,1.1338492186041549e-05
44,7049,7.38516519049881e-06
45,7099,1.6733298252802342e-05
45,7149,1.0654427569534164e-05
45,7199,7.736884072073735e-06
46,7249,9.030914952745661e-06
46,7299,6.839067737018922e-06
46,7349,8.690178219694644e-06
47,7399,3.682564420159906e-05
47,7449,2.7289692297927104e-05
47,7499,8.944359251472633e-06
48,7549,9.290750313084573e-06
48,7599,9.124968528340105e-06
48,7649,7.820708560757339e-06
49,7699,6.964454769331496e-06
49,7749,1.910773426061496e-05
49,7799,2.8173506507300772e-05
49,7849,5.371379756979877e-06
