epoch,step,train_loss
0,49,0.005855971947312355
1,99,0.0035915253683924675
1,149,0.0020753948483616114
2,199,0.0014715698780491948
3,249,0.0012561992043629289
3,299,0.0012503047473728657
4,349,0.0007155493949539959
5,399,0.0017821319634094834
5,449,0.0008342444780282676
6,499,0.001042514806613326
6,549,0.0009602071368135512
7,599,0.0015388765605166554
8,649,0.0008385177352465689
8,699,0.0007146585849113762
9,749,0.0007882602512836456
10,799,0.0005641827010549605
10,849,0.0005072515341453254
11,899,0.0008269732934422791
12,949,0.0007563536055386066
12,999,0.0008789700805209577
13,1049,0.0013057974865660071
13,1099,0.0004829980025533587
14,1149,0.0004042777291033417
