epoch,step,train_loss
0,49,0.010235344991087914
0,99,0.001773390918970108
0,149,0.0018648020923137665
0,199,0.0005832837778143585
0,249,0.0003675314364954829
0,299,0.0002151951048290357
1,349,0.0001838737225625664
1,399,0.00015142062329687178
1,449,0.00012102245818823576
1,499,7.852086855564266e-05
1,549,7.156624633353204e-05
1,599,9.561754995957017e-05
2,649,0.00014559784904122353
2,699,0.00011562051804503426
2,749,9.063041943591088e-05
2,799,9.975988359656185e-05
2,849,6.758334347978234e-05
2,899,8.603391324868426e-05
3,949,0.00012082279863534495
3,999,6.730250606779009e-05
3,1049,5.100077760289423e-05
3,1099,7.687068136874586e-05
3,1149,5.4818599892314523e-05
3,1199,3.556363299139775e-05
3,1249,2.596188642201014e-05
4,1299,3.513056435622275e-05
4,1349,4.6471897803712636e-05
4,1399,3.5327437217347324e-05
4,1449,3.693222606671043e-05
4,1499,6.68726279400289e-05
4,1549,3.5039702197536826e-05
5,1599,6.452250818256289e-05
5,1649,6.676223711110651e-05
5,1699,3.056218702113256e-05
5,1749,2.9595492378575727e-05
5,1799,3.532767004799098e-05
5,1849,4.8366600822191685e-05
6,1899,2.0697378204204142e-05
6,1949,4.140052988077514e-05
6,1999,2.66314218606567e-05
6,2049,3.364540680195205e-05
6,2099,2.2570620785700157e-05
6,2149,3.134166763629764e-05
7,2199,3.804251173278317e-05
7,2249,4.357311991043389e-05
7,2299,3.0463899747701362e-05
7,2349,1.3250690244603902e-05
7,2399,3.0507309929816984e-05
7,2449,2.5366978661622852e-05
7,2499,3.934502092306502e-05
8,2549,2.2561565856449306e-05
8,2599,3.5372569982428104e-05
8,2649,3.100167668890208e-05
8,2699,4.9561487685423344e-05
8,2749,2.8066031518392265e-05
8,2799,2.9940039894427173e-05
9,2849,2.1922092855675146e-05
9,2899,1.8605651348480023e-05
9,2949,2.7467996915220283e-05
9,2999,2.2999880457064137e-05
9,3049,2.1335841665859334e-05
9,3099,1.902297299238853e-05
10,3149,4.254556188243441e-05
10,3199,1.786796929081902e-05
10,3249,1.912925290525891e-05
10,3299,2.236279942735564e-05
10,3349,2.1990386812831275e-05
10,3399,1.835659350035712e-05
11,3449,2.385664265602827e-05
11,3499,2.5251063561881892e-05
11,3549,1.617013185750693e-05
11,3599,2.0793115254491568e-05
11,3649,2.320129715371877e-05
11,3699,2.490745100658387e-05
11,3749,2.064214277197607e-05
12,3799,3.272316826041788e-05
12,3849,2.474046777933836e-05
12,3899,2.7346977731212974e-05
12,3949,3.1704024877399206e-05
12,3999,1.5502042515436187e-05
12,4049,2.200192102463916e-05
13,4099,3.181718057021499e-05
13,4149,3.453643876127899e-05
13,4199,1.853439607657492e-05
13,4249,3.420957364141941e-05
13,4299,2.2670375983580016e-05
13,4349,1.434291152691003e-05
14,4399,1.3107448467053473e-05
14,4449,2.4708413548069075e-05
14,4499,2.1293017198331654e-05
14,4549,2.107378350046929e-05
14,4599,2.089512418024242e-05
14,4649,1.466851153963944e-05
15,4699,2.226305878139101e-05
15,4749,1.8664923118194565e-05
15,4799,2.0376272004796192e-05
15,4849,1.536382842459716e-05
15,4899,1.8955248378915712e-05
15,4949,3.199623461114243e-05
15,4999,1.623422394914087e-05
16,5049,1.257620442629559e-05
16,5099,3.196316538378596e-05
16,5149,1.4579942217096686e-05
16,5199,1.2886487638752442e-05
16,5249,1.5450617866008542e-05
16,5299,2.6667650672607124e-05
17,5349,2.558286359999329e-05
17,5399,1.6943818991421722e-05
17,5449,1.3306422260939144e-05
17,5499,1.9958941265940666e-05
17,5549,2.2710742996423505e-05
17,5599,2.0511604816420004e-05
18,5649,1.8028353224508464e-05
18,5699,1.9541250367183238e-05
18,5749,1.860932752606459e-05
18,5799,1.913418782351073e-05
18,5849,3.093921986874193e-05
18,5899,2.0361334463814273e-05
19,5949,3.185646346537396e-05
19,5999,1.723584864521399e-05
19,6049,2.212494655395858e-05
19,6099,2.518317887734156e-05
19,6149,2.4119730369420722e-05
19,6199,1.2433538358891383e-05
19,6249,1.2351639270491432e-05
20,6299,2.689543180167675e-05
20,6349,2.5578874556231312e-05
20,6399,1.486802921135677e-05
20,6449,1.3158259207557421e-05
20,6499,2.010376556427218e-05
20,6549,1.764811167959124e-05
21,6599,1.2024024726997595e-05
21,6649,1.8617718524183147e-05
21,6699,2.612916250654962e-05
21,6749,1.091130525310291e-05
21,6799,1.0015261977969203e-05
21,6849,1.5390331100206822e-05
22,6899,1.8569502572063357e-05
22,6949,1.6783500541350804e-05
22,6999,1.700983557384461e-05
22,7049,1.5662400983273983e-05
22,7099,1.8201792045147158e-05
22,7149,1.2230876563990023e-05
23,7199,2.2088292098487727e-05
23,7249,1.4778073818888515e-05
23,7299,2.1094961994094774e-05
23,7349,1.3733295418205671e-05
23,7399,2.10265934583731e-05
23,7449,1.5691868611611426e-05
23,7499,1.4762314094696194e-05
24,7549,1.6288013284793124e-05
24,7599,2.6479616280994378e-05
24,7649,1.643667565076612e-05
24,7699,1.8520742742111906e-05
24,7749,2.0025978301418945e-05
24,7799,1.537966454634443e-05
25,7849,3.5913159081246704e-05
25,7899,1.6011461411835626e-05
25,7949,1.221441834786674e-05
25,7999,2.350060640310403e-05
25,8049,1.431429700460285e-05
25,8099,1.0877905879169703e-05
26,8149,1.725338188407477e-05
26,8199,1.957943823072128e-05
26,8249,1.551356581330765e-05
26,8299,2.9492488465621136e-05
26,8349,1.0493323316040915e-05
26,8399,1.1904374332516454e-05
26,8449,2.3195358153316192e-05
27,8499,1.1278599231445696e-05
27,8549,1.977744796022307e-05
27,8599,1.4269751773099415e-05
27,8649,1.0005272997659631e-05
27,8699,1.37545994221e-05
27,8749,1.4172115697874688e-05
28,8799,2.44903549173614e-05
28,8849,2.1593306883005425e-05
28,8899,1.0132476745638996e-05
28,8949,2.780207069008611e-05
28,8999,1.750757292029448e-05
28,9049,1.3028260582359508e-05
29,9099,2.625994966365397e-05
29,9149,1.9179457012796775e-05
29,9199,9.114068234339356e-06
29,9249,1.4396736332855653e-05
29,9299,1.6938412954914384e-05
29,9349,1.1655132766463794e-05
30,9399,1.9027145754080266e-05
30,9449,1.2298267392907292e-05
30,9499,1.2281121598789468e-05
30,9549,1.261785928363679e-05
30,9599,1.3652168490807526e-05
30,9649,1.0868922800000291e-05
30,9699,1.7023317923303694e-05
31,9749,1.307597540289862e-05
31,9799,1.4590368664357811e-05
31,9849,9.918300747813191e-06
31,9899,1.0438820027047768e-05
31,9949,1.3393338122114073e-05
31,9999,1.6453561329399236e-05
32,10049,1.760271879902575e-05
32,10099,1.3600205420516431e-05
32,10149,1.2279333532205783e-05
32,10199,2.394374860159587e-05
32,10249,9.433273589820601e-06
32,10299,1.3039119949098676e-05
33,10349,2.470612344041001e-05
33,10399,1.5518304280703887e-05
33,10449,1.4340414054458961e-05
33,10499,1.428628274879884e-05
33,10549,1.657985194469802e-05
33,10599,1.635385342524387e-05
34,10649,2.1600902982754633e-05
34,10699,1.468025402573403e-05
34,10749,1.7646423657424748e-05
34,10799,1.0406113688077312e-05
34,10849,1.9147817511111498e-05
34,10899,1.0162671969737858e-05
34,10949,1.2139329555793665e-05
35,10999,1.797233744582627e-05
35,11049,1.3686876627616584e-05
35,11099,8.735680239624344e-06
35,11149,1.0980253136949614e-05
35,11199,1.5914043615339324e-05
35,11249,1.6345689800800756e-05
36,11299,1.1777118743339088e-05
36,11349,4.51953019364737e-05
36,11399,1.0574982297839597e-05
36,11449,9.520110324956477e-06
36,11499,1.2950396921951324e-05
36,11549,9.562898412696086e-06
37,11599,1.2343485650490038e-05
37,11649,1.889898703666404e-05
37,11699,2.142234006896615e-05
37,11749,2.0895979105262086e-05
37,11799,9.348595085612033e-06
37,11849,1.34971296574804e-05
38,11899,1.3454642612487078e-05
38,11949,1.4773815564694814e-05
38,11999,1.6213998605962843e-05
38,12049,1.2119695384171791e-05
38,12099,1.1747819371521473e-05
38,12149,1.4393113815458491e-05
38,12199,1.1492438716231845e-05
39,12249,1.4947107956686523e-05
39,12299,1.4127955182630103e-05
39,12349,1.2745847925543785e-05
39,12399,1.02071699075168e-05
39,12449,1.4874300177325495e-05
39,12499,1.183794483949896e-05
40,12549,1.0203306374023668e-05
40,12599,9.800942279980518e-06
40,12649,1.0065868082165252e-05
40,12699,8.024045200727414e-06
40,12749,1.386343501508236e-05
40,12799,1.6220248653553426e-05
41,12849,1.4936545994714834e-05
41,12899,1.4212182577466592e-05
41,12949,2.898089587688446e-05
41,12999,1.2680491636274382e-05
41,13049,2.7447385946288705e-05
41,13099,1.1363654266460799e-05
42,13149,1.0054574886453338e-05
42,13199,1.3166047210688703e-05
42,13249,9.767656592885032e-06
42,13299,1.5343159248004667e-05
42,13349,3.222434315830469e-05
42,13399,1.016266287479084e-05
42,13449,1.573149347677827e-05
43,13499,1.0086659131047782e-05
43,13549,1.311393134528771e-05
43,13599,1.3144317563273944e-05
43,13649,1.1482079571578652e-05
43,13699,1.1528005416039377e-05
43,13749,9.79008291324135e-06
44,13799,1.1923868441954255e-05
44,13849,1.4337600987346377e-05
44,13899,1.2628224794752896e-05
44,13949,2.1591633412754163e-05
44,13999,1.2239353054610547e-05
44,14049,1.0947321243293118e-05
45,14099,8.663035259814933e-06
45,14149,1.5161301234911662e-05
45,14199,1.860291558841709e-05
45,14249,1.4005299817654304e-05
45,14299,1.2157575838500634e-05
45,14349,1.2298223737161607e-05
46,14399,1.1189524229848757e-05
46,14449,1.3469993064063601e-05
46,14499,1.4559743249265011e-05
46,14549,8.88588147063274e-06
46,14599,1.3907282664149534e-05
46,14649,1.3140930605004542e-05
46,14699,1.3382812539930455e-05
47,14749,1.1151247235829942e-05
47,14799,9.414731721335556e-06
47,14849,1.2798256648238748e-05
47,14899,1.4981749700382352e-05
47,14949,2.333431621082127e-05
47,14999,3.50474365404807e-05
48,15049,1.3090570973872673e-05
48,15099,1.5646781321265735e-05
48,15149,1.2759580386045855e-05
48,15199,1.0180583558394574e-05
48,15249,8.034676284296438e-06
48,15299,9.672758096712641e-06
49,15349,1.0088019735121634e-05
49,15399,8.94320328370668e-06
49,15449,8.787035767454654e-06
49,15499,6.937441412446788e-06
49,15549,1.3785022019874305e-05
49,15599,1.1315634765196592e-05
49,15649,3.108967939624563e-05
