epoch,step,train_loss
2,49,0.008035311475396156
4,99,0.003056073561310768
7,149,0.0011158415582031012
9,199,0.0006081044557504356
12,249,0.0004996603238396347
14,299,0.0003038778086192906
17,349,0.00022364506730809808
19,399,0.0001815959985833615
22,449,0.0001812297268770635
24,499,0.00015856714162509888
27,549,0.00016554076864849776
29,599,0.00014922386617399752
32,649,0.00014860168448649347
34,699,0.00015743120457045734
37,749,8.870159217622131e-05
39,799,9.805045556277037e-05
42,849,8.887714648153633e-05
44,899,8.620801236247644e-05
47,949,7.495730824302882e-05
49,999,7.95513842604123e-05
