epoch,step,train_loss
0,49,0.010348913259804249
1,99,0.0024205725640058517
1,149,0.0007577835349366069
2,199,0.00039077139808796346
3,249,0.00022702629212290049
3,299,0.00015165454533416778
4,349,0.0001511389564257115
5,399,0.00011104233271908015
5,449,8.212573447963223e-05
6,499,8.390079892706126e-05
6,549,7.327605271711946e-05
7,599,8.042870467761531e-05
8,649,6.191327702254057e-05
8,699,4.29620522481855e-05
9,749,8.127093315124512e-05
10,799,4.380370955914259e-05
10,849,6.049514558981173e-05
11,899,5.150585639057681e-05
12,949,7.356115384027362e-05
12,999,5.318839612300508e-05
13,1049,4.192821143078618e-05
13,1099,3.759675382752903e-05
14,1149,4.076748882653192e-05
15,1199,4.939453356200829e-05
15,1249,4.534315667115152e-05
16,1299,3.5685381590155885e-05
17,1349,3.443314926698804e-05
17,1399,4.4141397665953264e-05
18,1449,4.651353810913861e-05
18,1499,3.2268319046124816e-05
19,1549,5.3073854360263795e-05
20,1599,3.237064811401069e-05
20,1649,3.1280382245313376e-05
21,1699,4.396255826577544e-05
22,1749,2.509360456315335e-05
22,1799,1.9996410628664307e-05
23,1849,2.6738078304333612e-05
24,1899,3.3129101211670786e-05
24,1949,4.305578113417141e-05
25,1999,1.6602127288933843e-05
25,2049,2.5191282475134358e-05
26,2099,2.2795144104748033e-05
27,2149,3.687139542307705e-05
27,2199,2.898154707509093e-05
28,2249,3.214017124264501e-05
29,2299,4.480574716581032e-05
29,2349,2.351244620513171e-05
30,2399,2.1722677047364414e-05
31,2449,4.985236591892317e-05
31,2499,1.95267639355734e-05
32,2549,2.0241019228706136e-05
32,2599,2.1069934518891387e-05
33,2649,3.538274540915154e-05
34,2699,2.856986793631222e-05
34,2749,1.7302390915574506e-05
35,2799,1.647786848479882e-05
36,2849,2.0051382307428867e-05
36,2899,1.4556564565282315e-05
37,2949,1.8347673176322132e-05
37,2999,2.062534258584492e-05
38,3049,1.591482578078285e-05
39,3099,2.602902168291621e-05
39,3149,4.298299245419912e-05
40,3199,2.010891148529481e-05
41,3249,1.930453254317399e-05
41,3299,1.6045303709688596e-05
42,3349,1.735372279654257e-05
43,3399,1.3656743249157444e-05
43,3449,1.4398896382772364e-05
44,3499,1.9921299099223688e-05
44,3549,2.122194564435631e-05
45,3599,1.3312426744960248e-05
46,3649,1.3992706044518854e-05
46,3699,1.699496351648122e-05
47,3749,1.1764952432713471e-05
48,3799,2.094502269756049e-05
48,3849,1.4211223970050924e-05
49,3899,1.5038759556773584e-05
49,3949,1.578031515236944e-05
50,3999,1.4380547327164095e-05
51,4049,1.0413255949970335e-05
51,4099,1.1074555914092343e-05
52,4149,1.528813663753681e-05
53,4199,2.4252780349343084e-05
53,4249,1.3574073818745092e-05
54,4299,1.2704497748927679e-05
55,4349,2.4990722522488795e-05
55,4399,1.0023139111581258e-05
56,4449,1.932291706907563e-05
56,4499,1.8076163541991264e-05
57,4549,1.3903149920224678e-05
58,4599,1.4979073966969736e-05
58,4649,1.3519252206606325e-05
59,4699,1.4348403055919334e-05
60,4749,1.6253079593298025e-05
60,4799,1.67507696460234e-05
61,4849,1.66377576533705e-05
62,4899,1.2490918379626237e-05
62,4949,1.5040731341287028e-05
63,4999,1.099925248126965e-05
63,5049,1.2512493412941694e-05
64,5099,1.1609297871473245e-05
65,5149,1.3109971405356191e-05
65,5199,1.6868800230440684e-05
66,5249,1.3394987036008388e-05
67,5299,1.5470785001525655e-05
67,5349,1.073603743861895e-05
68,5399,1.3725002645514905e-05
68,5449,1.3444208889268339e-05
69,5499,1.271027940674685e-05
70,5549,2.1436810129671358e-05
70,5599,1.538353717478458e-05
71,5649,1.322362368227914e-05
72,5699,2.010728894674685e-05
72,5749,1.000237898551859e-05
73,5799,1.3629571185447276e-05
74,5849,1.735374826239422e-05
74,5899,1.2373027857393026e-05
75,5949,1.4996111531218048e-05
75,5999,2.157854578399565e-05
76,6049,1.355006497760769e-05
77,6099,1.429850271961186e-05
77,6149,2.5605411792639643e-05
78,6199,1.4651205674454104e-05
79,6249,1.0009717698267195e-05
79,6299,1.76292141986778e-05
80,6349,1.168587914435193e-05
81,6399,2.848503936547786e-05
81,6449,1.3376135029830039e-05
82,6499,1.1201095730939414e-05
82,6549,9.72963243839331e-06
83,6599,1.3589563423010986e-05
84,6649,1.0126879715244286e-05
84,6699,1.3736238543060608e-05
85,6749,1.2484392755141016e-05
86,6799,1.256509858649224e-05
86,6849,1.847835665103048e-05
87,6899,1.1809391253336798e-05
87,6949,1.1586154869291931e-05
88,6999,1.107390744436998e-05
89,7049,1.4783203369006515e-05
89,7099,1.403301939717494e-05
90,7149,1.3410040082817432e-05
91,7199,1.8414377336739562e-05
91,7249,9.375669833389111e-06
92,7299,1.299957057199208e-05
93,7349,2.006098293350078e-05
93,7399,1.0633189958753064e-05
94,7449,1.2738266377709806e-05
94,7499,1.358796998829348e-05
95,7549,9.229027455148753e-06
96,7599,1.1336839634168427e-05
96,7649,1.1512971468619071e-05
97,7699,1.1475140127004124e-05
98,7749,8.554126907256432e-06
98,7799,1.5549168892903253e-05
99,7849,1.0800464224303141e-05
99,7899,3.3917396649485454e-05
